Estació,Altitud (m),T(ºC),T mín (ºC),T màx (ºC),Punt rosada (ºC),Wind Chill (ºC),Humetat relativa %,Precip Dia (mm),Intensitat precip,Vent (km/h),Direcció vent,Màxim vent (km/h)
XàbiaTossals/Carrasquetes,66,10.6,4.8,10.7,4.7,,67,7.4,7.4,5,O,23
XàbiaViver Montgó Verd,20 +4,11.4,4.7,11.5,4.3,,62,4.6,4.6,6,N,22
la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa,la Marina Baixa
AlteaClub Nàutic d′Altea,12 +4,12.1,8.2,12.2,5.0,,62,0.0,0.0,6,ESE,31
AlteaComunitat de Regants,53,11.7,7.2,12.3,3.6,,58,0.0,0.0,11,E,29
Benidormcentre,55 +25,11.6,6.8,12.0,3.5,,58,0.0,0.0,6,SSE,13
Bolulla,225,11.4,4.8,11.4,2.3,,54,0.0,0.0,3,NO,23
Callosa d′en Sarriàel Colomer,247 +6,11.9,5.9,11.9,2.5,,53,0.0,0.0,0,SSO,31
Callosa d′en SarriàMargeve,250,11.8,4.6,11.8,-0.2,,44,0.0,0.0,0,E,18
Callosa d′en SarriàSacos,168,11.1,2.6,11.1,3.8,,61,0.0,0.0,3,SSO,7
ConfridesPensió El Pirineo,772,6.2,-1.1,6.9,0.5,,67,0.2,0.2,5,O,15
Finestratla Cala,2,11.7,4.6,12.2,0.4,,46,0.0,0.0,3,SO,21
FinestratAjuntament,262,10.7,3.7,10.9,3.6,,62,0.0,0.0,10,SSE,29
Finestratel Realet,340,10.7,2.1,10.7,1.9,,55,0.0,0.0,9,SSO,30
la Vila Joiosa,39 +10,11.2,4.0,11.6,3.9,,61,0.0,0.0,3,E,18
la Vila JoiosaSalomó del Carabassot,77 +4,11.2,4.7,11.9,3.6,,60,0.0,0.0,6,SE,9
Orxeta,177,11.5,3.0,11.6,4.6,,63,0.0,0.0,5,SO,18
Polop,250 +9,11.4,5.1,11.4,2.1,,53,0.0,0.0,3,SSE,27
Sella,420 +8,10.7,2.4,11.0,1.4,,53,0.0,0.0,4,SSE,20
Sellael Xarquer,490 +2,9.2,3.5,10.1,1.3,,58,0.0,0.0,3,SSO,26
Tàrbena,559 +15,8.0,2.7,8.1,-1.1,5.7,53,0.0,0.0,13,NNE,31
l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí,l′Alacantí
Agostel Ventós,422,11.2,1.3,11.6,1.6,,52,0.0,0.0,0,ONO,13
Alacantel Rebolledo CETRA,137 +8,12.4,2.1,12.4,,,,0.0,0.0,5,SE,11
AlacantRabassa,79 +11,11.5,2.9,11.8,3.4,,58,0.0,0.0,8,S,15
BusotPolicia Local,275 +9,10.3,4.2,10.4,2.6,,59,0.0,0.0,13,SSO,16
el CampelloEl Vincle,38 +11,11.8,4.8,12.1,4.9,,63,0.0,0.0,13,SSE,21
la Torre de les Maçanesla Canaleta,945 +2,6.4,-0.2,6.6,0.4,4.4,66,0.2,0.2,10,N,24
Sant Vicent del Raspeigel Rabosar,103 +7,12.2,1.7,12.2,2.8,,53,0.0,0.0,5,SSE,13
Sant Vicent del Raspeig,102,11.9,2.8,12.2,3.8,,58,,,8,SE,16
Xixonala Sarga,824 +2,6.6,-0.1,6.9,0.2,,64,0.0,0.0,4,E,11
XixonaCamí Bugaia,772 +2,9.1,1.3,10.2,-2.0,8.8,46,0.0,0.0,5,NE,30
XixonaCantal de Tormo,600 +2,9.6,1.6,10.5,1.2,,56,0.0,0.0,5,SE,13
XixonaMontnegre de Baix,216 +4,12.4,3.2,12.8,2.7,,52,0.0,0.0,1,SE,12
XixonaPou de Neu el Surdo,1.105 +2,3.1,-2.2,3.1,2.4,0.1,95,1.3,1.3,11,N,26
XixonaRambla de La Sarga,769 +2,4.7,-1.4,5.2,1.3,,79,0.0,0.0,0,NE,7
XixonaSegorb Barranc Blanc,360,10.9,3.0,11.3,1.9,,54,0.0,0.0,14,ESE,28
XixonaSegorb-Vistabella,444 +3,11.2,3.4,11.5,1.9,,53,,,5,ENE,18
XixonaZona Alta,490 +2,9.4,2.4,10.6,1.2,,57,0.0,0.0,1,SSE,12
el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó,el Baix Vinalopó
Crevillentel Realengo,6 +5,13.0,-0.1,13.2,2.7,,50,0.0,0.0,5,SSO,16
ElxAtzavares Alt,62,12.8,4.7,12.8,2.0,,48,0.0,0.0,2,SSE,26
ElxTorrellano CEIP Antonio Machado,61 +10,12.9,4.4,13.1,3.2,,52,0.0,0.0,3,NNO,16
ElxVallverda Ermita Vella,21 +3,13.2,1.2,13.5,3.5,,52,0.0,0.0,8,SSE,10
ElxCarrús,111 +17,11.8,4.6,11.9,1.9,,51,0.0,0.0,3,SE,24
Elxla Baia,21 +14,12.4,5.2,12.5,1.6,,48,0.0,0.0,5,S,22
Santa PolaAjuntament,10,11.8,5.4,11.9,4.0,,59,0.0,0.0,8,SSO,19
Santa PolaUrb. Gran Alacant,112,10.6,4.4,11.5,4.7,,67,0.0,0.0,2,ESE,19
el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura,el Baix Segura
BigastreLo Chusco,52,11.6,4.8,11.7,1.4,,50,,,6,SSO,22
Formentera del SeguraLos Palacios,2,12.2,2.9,12.3,1.7,,49,0.0,0.0,1,SE,11
Guardamar del Segura,15 +20,11.8,3.4,11.8,2.4,,53,0.0,0.0,4,NNE,19
Oriolacentre,50,12.3,2.5,13.0,2.9,,53,,,7,SSO,13
Torrevella,2 +12,11.7,5.2,11.8,3.6,,58,3.4,3.4,2,SE,19
